"","baseMean","log2FoldChange","lfcSE","pvalue","padj","Gene"
"MFSD10",28.8421273019521,6.73382658377945,1.47206223279134,7.64382289269138e-08,3.68651403742737e-06,"MFSD10"
"RNF214",5.59465440981901,6.71676050621107,2.82270873305341,0.000195699084833005,0.00169035682626845,"RNF214"
"MT2A",46.8436437948236,6.71042119277884,1.59234055023926,1.13075218675696e-07,4.93168492316748e-06,"MT2A"
"FSTL1",31.3690629046091,6.71032783892627,1.53527058548276,3.18653972723589e-08,1.89197449099035e-06,"FSTL1"
"ATP1B3",14.2395633141755,6.69848609147643,1.53345744366838,1.30184929689398e-08,8.97386947044331e-07,"ATP1B3"
"NR4A1",93.9075757457608,6.68443078130496,1.2531272201693,5.55609662764369e-09,4.66619960366612e-07,"NR4A1"
"PSMA7",5.47872863933934,6.67896970895057,2.82058215078094,0.000218541562287937,0.00185924793298666,"PSMA7"
"PLTP",23.7232177307823,6.6752577828954,1.5263706840134,4.9491617404169e-07,1.59672613136601e-05,"PLTP"
"RIPK4",5.19525665593665,6.67224285106734,2.7402745213515,7.98899744640832e-05,0.000836240910482934,"RIPK4"
"SLC39A1",5.69124324410828,6.65535649836976,2.88559654215335,0.000441722855133979,0.0031674209808255,"SLC39A1"
"MAPK1",10.3667211600879,6.64070305537411,1.91166606616615,2.48854217785579e-05,0.000337158096982551,"MAPK1"
"SH3BP4",13.4351439632869,6.62367318997848,1.58385663610907,9.60513111896614e-08,4.37839057555195e-06,"SH3BP4"
"ZRSR2P1",5.27958801591966,6.61808886965566,2.80274576817403,0.000224895146043164,0.00189874815783946,"ZRSR2P1"
"RPL7A",37.2730292165311,6.5641432218517,1.21932793274394,1.87979358562563e-10,3.23943453152143e-08,"RPL7A"
"RPN2",28.3590995705579,6.55398563887453,1.24349815548787,2.82559963979062e-09,2.67976835636787e-07,"RPN2"
"ERRFI1",24.9974147020702,6.52904305648692,1.42134681047248,1.06885548932375e-08,7.58994820082109e-07,"ERRFI1"
"SLC25A6",55.4110114979245,6.52496276589007,1.13001852869694,7.07562931893204e-11,1.61267286944885e-08,"SLC25A6"
"RPL18A",29.8280554388449,6.52269553471442,1.25601368068448,1.15563378554259e-10,2.3328944319289e-08,"RPL18A"
"RELA",30.6676176061384,6.51091746286763,1.13476692589091,4.82780063992632e-11,1.19687106741752e-08,"RELA"
"DUSP1",16.3486161625206,6.50840144357191,1.58370774345661,9.20825373553219e-08,4.2384962064106e-06,"DUSP1"
"NDUFA13",4.96913195866104,6.5025488910667,2.82216860705025,0.000411542174875997,0.00301009444781196,"NDUFA13"
"RER1",14.7174881825752,6.49464151857076,1.3143902750805,2.50030366896377e-09,2.43667525145704e-07,"RER1"
"GYS1",18.3418198441586,6.48850600409402,1.63860593993,2.13152974498916e-07,8.22685096616972e-06,"GYS1"
"AAAS",15.0126325735149,6.48261314882059,1.61629507758553,3.78115877854537e-07,1.2813322469934e-05,"AAAS"
"TM9SF4",23.8923980521074,6.46165078785098,1.33821644247058,1.08882463784693e-08,7.65481639672386e-07,"TM9SF4"
"GPNMB",90.5288745391592,6.46018525055931,1.12687057594874,1.66752425042466e-09,1.70752066541673e-07,"GPNMB"
"POLR2L",5.18889013281174,6.46007700377895,2.88907182061122,0.00077747847809319,0.00491128671163829,"POLR2L"
"ACTG1",191.557250150014,6.45628277874658,0.927875757208453,1.20093713661419e-13,9.42802370971953e-11,"ACTG1"
"C17orf49",16.6808006381009,6.44677768815525,1.69262229913476,8.65742271139882e-07,2.46649274868502e-05,"C17orf49"
"FGFR3",15.9505872447717,6.42850777637119,1.43744070352974,1.53534942168298e-07,6.41894162065153e-06,"FGFR3"
"MAGED2",4.69362953679087,6.42833987557505,2.67760041444252,0.00015175269954131,0.00138887137125534,"MAGED2"
"KCTD17",13.5196957914655,6.42597334595913,1.73689389691253,5.20056355383052e-06,0.000101085506986491,"KCTD17"
"CUTA",30.7903655463943,6.41017113310651,1.37028480399089,1.58059303641552e-07,6.53080707531803e-06,"CUTA"
"PNPLA6",16.20410632141,6.40714527725444,1.63637931685021,7.79914268936641e-07,2.27087921325184e-05,"PNPLA6"
"C1QA",4.71084997679084,6.40600555637888,2.78328206513211,0.00036737845782072,0.00276875999331445,"C1QA"
"IGLC3",5.12859878461507,6.40126948522807,2.90387134409025,0.00100792754173225,0.00601562664028636,"IGLC3"
"RPS24",103.994361795766,6.38974111129351,1.15652381786736,4.16065720214107e-10,5.54662706825051e-08,"RPS24"
"ARL4D",4.96499353772238,6.38355276475999,2.87575487222634,0.000856097181796731,0.00528968486050267,"ARL4D"
"KRTCAP2",43.7270706812637,6.36798941142743,1.0759566026878,3.39278913087649e-11,9.23199297362256e-09,"KRTCAP2"
"METTL26",5.10678874436136,6.3663385101256,2.92399751323719,0.00123075872690267,0.00698187537931017,"METTL26"
"COL1A2",1421.79447757324,6.35713347342846,0.755021007384854,5.03960995886465e-18,2.37382427762388e-14,"COL1A2"
